Empresa,1T_Dívida Líquida,1T_EBIT,1T_Lucro Líquido,1T_ROE,1T_Receita Líquida,2T_Dívida Líquida,2T_EBIT,2T_Lucro Líquido,2T_ROE,2T_Receita Líquida,3T_Dívida Líquida,3T_EBIT,3T_Lucro Líquido,3T_ROE,3T_Receita Líquida,Classificação
OSXB3 - 2022,4869070000.0,-11020000.0,-145510000.0,0.0,9050000.0,5009660000.0,-270000.0,-198330000.0,-3.49,9700000.0,5170947000.0,-22410000.0,-172760000.0,-2.95,8600000.0,1
PTNT4 - 2022,131688000.0,23170000.0,18340000.0,5.62,229640000.0,-61540000.0,18220000.0,11670000.0,0.72,224060000.0,-61540000.0,21810000.0,15800000.0,2.79,224060000.0,1
ENGI3 - 2022,18805870000.0,1456800000.0,580680000.0,5.68,6514550000.0,21282480000.0,1373620000.0,989700000.0,9.36,6284200000.0,-3179077000.0,1652910000.0,474750000.0,3.45,7042670000.0,0
EPAR3 - 2022,13940000.0,15500000.0,8840000.0,8.9,168990000.0,28210000.0,2220000.0,-1470000.0,-1.88,218960000.0,30053000.0,40100000.0,24990000.0,26.76,518480000.0,0
FHER3 - 2022,332591000.0,77840000.0,128360000.0,0.0,1233010000.0,719494000.0,16590000.0,-94670000.0,-17.13,1081560000.0,198954000.0,-54170000.0,-110770000.0,-25.06,1804590000.0,1
BOBR4 - 2022,293040000.0,2590000.0,-24700000.0,-12.17,310110000.0,330890000.0,38460000.0,7950000.0,-4.08,371260000.0,308475000.0,51200000.0,15740000.0,-8.78,387150000.0,1
CRPG5 - 2022,-134400000.0,-6110000.0,-1030000.0,-0.12,210140000.0,-137060000.0,-770000.0,4730000.0,0.54,221180000.0,-155452000.0,19830000.0,28440000.0,3.12,216090000.0,1
BAHI3 - 2022,59430000.0,-6760000.0,-18070000.0,-9.61,83750000.0,122337000.0,-16190000.0,-35550000.0,-25.86,86870000.0,198932000.0,-7818000.0,-28105000.0,-23.99,90803000.0,0
EMAE4 - 2022,-325080000.0,-4210000.0,25780000.0,3.38,131770000.0,-369480000.0,2270000.0,29630000.0,3.86,113650000.0,-390016000.0,8990000.0,18090000.0,1.95,134030000.0,0
MTSA4 - 2022,-17510000.0,20480000.0,16430000.0,4.99,178300000.0,-15040000.0,37330000.0,23490000.0,6.71,225210000.0,-47973000.0,38650000.0,27740000.0,7.45,228710000.0,1
PETR4 - 2023,204125000000.0,60197000000.0,38307000000.0,9.49,139068000000.0,218390000000.0,41971000000.0,28936000000.0,7.76,113840000000.0,238304000000.0,47546000000.0,26760000000.0,6.9,124828000000.0,1
MGLU3 - 2023,5038335000.0,16328000.0,-391221000.0,-3.8,9067334000.0,4744924000.0,-35923000.0,-301746000.0,-3.01,8572256000.0,4118464000.0,661189000.0,-498330000.0,-5.23,8578818000.0,1
